timestamp,switch,in_port,out_port,src_mac,dst_mac,action,notes
2025-11-12T16:37:35.704794+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:35.728991+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:37.260319+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:37.270859+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:38.857424+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:38.873597+00:00,1,2,13,44:65:0d:56:cc:d3,ec:1a:59:83:28:11,forward,
2025-11-12T16:37:42.014469+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:42.027517+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:45.245639+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:46.826229+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:48.207920+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:49.033806+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:49.045960+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:50.228027+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:51.496669+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:51.505851+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.383295+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.391619+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.413178+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.416833+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.420527+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.422518+00:00,1,2,22,44:65:0d:56:cc:d3,70:5a:0f:e4:9b:c0,forward,
2025-11-12T16:37:53.440953+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.444358+00:00,1,2,12,44:65:0d:56:cc:d3,74:c6:3b:29:d7:1d,forward,
2025-11-12T16:37:53.464306+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
